"row_id","x","y","z","Mvir","Mtot"
152,15.9013,36.5754,1.5223,2351600000000,2361800000000
153,32.0449,38.7344,19.272,2350100000000,2396200000000
154,36.3943,29.0499,27.1326,2329300000000,2330100000000
155,0.7411,22.6641,30.8133,2322200000000,2331900000000
156,1.6759,27.6031,17.0987,2317200000000,2945000000000
157,37.1356,11.7452,0.2968,2309300000000,3091100000000
158,23.5271,15.5016,9.38,2295500000000,2423100000000
159,5.3153,29.5282,26.133,2294900000000,2360600000000
160,14.1289,23.644,37.1474,2281300000000,2737800000000
161,4.4938,10.0161,16.303,2249800000000,2269000000000
162,6.8077,21.8074,35.3572,2235200000000,2882200000000
163,13.1312,39.8506,33.6541,2232100000000,2390800000000
164,27.4351,16.5969,27.2803,2223600000000,2363500000000
165,26.4756,4.1691,10.6281,2209500000000,2212900000000
166,13.9919,22.4704,12.246,2164700000000,2177100000000
167,1.978,17.0107,34.9595,2141600000000,2188600000000
168,27.565,11.324,6.8246,2124900000000,2125400000000
169,9.6551,22.789,13.7858,2099600000000,2951000000000
170,8.0778,28.503,12.7025,2085200000000,2110200000000
171,27.0929,17.2982,32.4275,2081200000000,2106900000000
172,39.5492,36.8862,39.8986,2081000000000,2125800000000
173,12.0925,35.6976,33.2805,2081000000000,3382800000000
174,23.0378,31.4628,13.2828,2075800000000,2104400000000
175,33.6835,13.1108,10.2904,2071000000000,2084800000000
176,32.2671,13.1163,19.373,2067900000000,2160700000000
177,27.8783,34.2157,5.5653,2063800000000,2103500000000
178,16.0636,28.872,29.4141,2061400000000,2081800000000
179,0.5084,4.585,28.0478,2038600000000,2101000000000
180,2.4101,0.2702,22.2079,2005300000000,2097900000000
181,12.6882,26.5029,32.1142,1993000000000,3437800000000
182,26.2892,26.3941,24.9815,1993000000000,2011300000000
183,17.0401,37.721,5.1425,1959700000000,2097800000000
184,25.032,19.4599,11.5448,1955400000000,1969000000000
185,7.3028,32.8178,31.2413,1948400000000,3284000000000
186,8.9912,20.1656,15.1761,1944700000000,2446100000000
187,26.2202,21.8266,23.618,1943000000000,2311300000000
188,31.2263,28.8668,25.0082,1927000000000,2144300000000
189,14.7648,24.0366,12.0395,1907500000000,2077300000000
190,8.6466,2.5901,8.315,1885500000000,1926700000000
191,15.9907,14.2259,11.717,1884100000000,2005700000000
192,27.7207,21.2509,35.672,1873100000000,1877600000000
193,9.7051,11.9599,12.0428,1864700000000,1912300000000
194,24.2593,27.0033,26.9972,1838500000000,2031300000000
195,33.1843,29.3412,25.4445,1837300000000,1853900000000
196,8.0851,36.5034,5.6039,1828300000000,1831900000000
197,20.1544,15.2353,12.3046,1822400000000,1937200000000
198,33.5639,11.496,3.8713,1811700000000,1850000000000
199,33.7183,29.957,25.4025,1801000000000,1847200000000
200,32.8682,38.4932,22.4292,1790900000000,1795800000000
201,37.6251,34.7165,6.1565,1780100000000,1904400000000
