"row_id","x","y","z","Mvir","Mtot"
67,49.3562,150.6843,204.8274,4595500000000,4626500000000
68,49.2885,164.9593,92.023,4586400000000,10667000000000
69,49.5326,94.1631,89.3644,4565200000000,4568300000000
70,49.6339,222.6677,183.3669,4347300000000,4412500000000
71,49.8906,128.5436,222.7838,4334400000000,4438500000000
72,49.7842,39.8933,42.73,4292600000000,4297700000000
73,49.0155,174.4318,96.6932,4256600000000,4342800000000
74,49.8764,237.9075,62.0936,4256300000000,4325000000000
75,49.0567,125.0098,189.6845,4114400000000,4127500000000
76,49.3583,127.9566,71.1857,3987000000000,4020300000000
77,49.3193,161.6986,130.7999,3982600000000,4472600000000
78,49.7424,244.7433,231.9527,3971500000000,4002000000000
79,49.5314,129.6966,24.8176,3904200000000,3960200000000
80,49.0987,202.271,16.995,3831900000000,3870600000000
81,49.0847,53.1635,104.6564,3764800000000,3897900000000
82,49.7062,202.0794,103.7428,3736700000000,3738900000000
83,49.6328,18.5161,249.2285,3722900000000,3879400000000
84,49.7972,120.069,18.7692,3653600000000,3669800000000
85,49.2451,59.8298,83.2801,3582000000000,3623900000000
86,49.7412,87.5566,10.6096,3562700000000,3573500000000
87,49.1926,217.9596,178.7841,3475400000000,3540800000000
88,49.0571,152.5921,217.0173,3394400000000,3797800000000
89,49.9256,187.7061,29.1743,3372200000000,3372200000000
90,49.5954,175.337,146.5311,3352700000000,3407100000000
91,49.5015,31.603,180.9288,3331600000000,3339200000000
92,49.2727,205.073,3.9449,3304000000000,3348800000000
93,49.6605,117.4113,138.5627,3245900000000,3273500000000
94,49.6538,193.1354,236.2449,3223800000000,3437900000000
95,49.9447,19.1618,180.0417,3178200000000,4082300000000
96,49.5007,118.5889,142.72,3146700000000,3212800000000
97,49.9729,150.7347,36.3834,3127800000000,3138800000000
98,49.7881,34.0608,111.2765,3121000000000,3147100000000
99,49.2458,182.0413,86.1453,3116500000000,3117800000000
100,49.4577,138.1899,46.7103,3113900000000,3407900000000
101,49.1343,127.2303,22.4402,3084800000000,3325700000000
102,49.3682,131.0125,235.1946,3015600000000,3101500000000
103,49.5564,3.8205,225.1855,3012100000000,3036900000000
104,49.1498,155.7469,244.47,3010800000000,3345300000000
105,49.6681,150.935,53.9934,3006800000000,3806400000000
106,49.7721,151.1567,52.1834,2999100000000,3189200000000
107,49.8812,11.7057,95.353,2974700000000,3014700000000
